time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:38:00:476087,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:479087,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:550078,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:551087,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:552087,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:683171,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:686169,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:783168,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:785167,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:786164,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:863399,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:863399,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:864393,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:996659,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:998657,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:002656,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:073651,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:074652,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:178783,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:178783,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:179782,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:286831,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:287824,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:288834,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:391826,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:392825,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:393824,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:496876,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:497876,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:498875,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:600877,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:600877,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:709963,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:713971,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:716962,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:806954,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:807954,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:808955,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:912042,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:913043,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:01:913043,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:018205,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:020205,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:124285,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:125284,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:126285,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:232286,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:232286,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:233286,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:336825,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:337819,TRUE,346,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:337819,TRUE,346,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:443824,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:444823,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:444823,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:553032,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:553853,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:657964,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:658962,TRUE,346,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:659960,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:737008,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:740011,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:743011,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:860093,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:861094,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:862094,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:971383,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:02:974378,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:049420,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:051424,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:052425,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:155433,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:156425,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:156425,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:262030,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:264025,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:265026,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:370071,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:371072,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:372071,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:475070,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:475070,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:580069,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:580069,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:581069,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:685073,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:686074,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:688070,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:783076,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:785075,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:786075,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:886831,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:887830,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:991590,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:994586,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:03:998589,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:095581,TRUE,345,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:096582,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:097581,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:203778,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:203778,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:204777,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:308818,TRUE,336,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:309819,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:310820,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:04:414298,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
